月份,层数,商铺名称,销售额,总租金,租售比,销售坪效,平均租金,商铺面积,一级业态,二级业态,三级业态,合同起始日期,合同结束日期,扣点方式,扣率,合同期限,商铺面积,平均租金
2014年1月,负一层,曼诺莎,"48,560 ","11,169 ",23%,843.0625 ,194 ,57.6,餐饮,轻餐,咖啡店/面包店/冰激凌,2013/3/22,2015/5/9,纯保底,0.15,2,57.6,194 
2014年1月,负一层,尊和名品,"541,928 ","16,258 ",3%,9817.5326 ,295 ,55.2,其它,其它的其它,烟/酒/茶,2012/12/12,2014/5/9,保底与流水两者取高,0.03,1,55.2,295 
2014年1月,负一层,一席地,"265,790 ","31,895 ",12%,1052.4185 ,126 ,252.552,餐饮,正餐,餐馆/饭店,2012/12/25,2018/5/9,保底与流水两者取高,0.08,5,252.552,126 
2014年1月,负一层,casa miel,"293,652 ","20,556 ",7%,1957.6776 ,137 ,150,餐饮,正餐,餐馆/饭店,2013/1/25,2018/5/9,保底与流水两者取高,0.08,5,150,137 
2014年1月,负一层,咬不得,"437,030 ","43,703 ",10%,1334.0366 ,133 ,327.6,餐饮,正餐,快餐,2013/4/5,2018/6/3,保底与流水两者取高,0.09,5,327.6,133 
2014年1月,负一层,厚道青转小火锅,"232,672 ","23,267 ",10%,1250.9226 ,125 ,186,餐饮,正餐,餐馆/饭店,2013/3/1,2018/5/9,保底与流水两者取高,0.1,5,186,125 
2014年1月,负一层,藏鼎堂,"104,651 ","5,233 ",5%,5813.9333 ,291 ,18,其它,其它的其它,药房/保健品,2013/6/10,2014/6/9,纯保底,0,0,18,291 
2014年1月,负一层,臻世海参,"59,117 ","5,321 ",9%,2815.0857 ,253 ,21,其它,其它的其它,药房/保健品,2013/9/30,2014/9/29,保底(含物管费)与流水两者取高,0.07,0,21,253 
2014年1月,负一层,Car's Home 卡士通,"20,832 ","13,749 ",66%,95.3846 ,63 ,218.4,其它,配套服务,汽车美容,2013/9/20,2016/9/19,纯保底,0,2,218.4,63 
2014年2月,负一层,曼诺莎,"48,458 ","13,825 ",29%,841.2917 ,240 ,57.6,餐饮,轻餐,咖啡店/面包店/冰激凌,2013/3/22,2015/5/9,纯保底,0.15,2,57.6,240 
2014年2月,负一层,尊和名品,"244,624 ","17,124 ",7%,4431.5978 ,310 ,55.2,其它,其它的其它,烟/酒/茶,2012/12/12,2014/5/9,保底与流水两者取高,0.03,1,55.2,310 
2014年2月,负一层,一席地,"199,822 ","40,404 ",20%,791.2097 ,160 ,252.552,餐饮,正餐,餐馆/饭店,2012/12/25,2018/5/9,保底与流水两者取高,0.08,5,252.552,160 
2014年2月,负一层,casa miel,"271,313 ","26,996 ",10%,1808.7560 ,180 ,150,餐饮,正餐,餐馆/饭店,2013/1/25,2018/5/9,保底与流水两者取高,0.08,5,150,180 
2014年2月,负一层,咬不得,"447,069 ","52,396 ",12%,1364.6795 ,160 ,327.6,餐饮,正餐,快餐,2013/4/5,2018/6/3,保底与流水两者取高,0.09,5,327.6,160 
2014年2月,负一层,厚道青转小火锅,"232,266 ","33,470 ",14%,1248.7419 ,180 ,186,餐饮,正餐,餐馆/饭店,2013/3/1,2018/5/9,保底与流水两者取高,0.1,5,186,180 
2014年2月,负一层,藏鼎堂,"53,638 ","6,002 ",11%,2979.8667 ,333 ,18,其它,其它的其它,药房/保健品,2013/6/10,2014/6/9,纯保底,0,0,18,333 
2014年2月,负一层,臻世海参,"33,966 ","5,998 ",18%,1617.4286 ,286 ,21,其它,其它的其它,药房/保健品,2013/9/30,2014/9/29,保底(含物管费)与流水两者取高,0.07,0,21,286 
2014年2月,负一层,Car's Home 卡士通,"8,274 ","14,400 ",174%,37.8846 ,66 ,218.4,其它,配套服务,汽车美容,2013/9/20,2016/9/19,纯保底,0,2,218.4,66 
