读者ID,读者类型,性别,单位, 
1103AE140220,本科生,男,能源2011-2, 
1103AE140229,本科生,男,能源2011-2, 
1106AE140105,本科生,女,电气2011-1, 
1106AE140204,本科生,女,电气2011-2, 
1107AD140227,本科生,男,计2011-2, 
1107AD140608,本科生,男,计2013-6, 
1108AC240117,本科生,男,商管2011-1, 
1108AC940118,本科生,女,旅游2011-1, 
1111AC140211,本科生,男,英语2011-2, 
1114AC140307,本科生,男,环设2013-1, 
1114AC140324,本科生,男,环设2013-1, 
1115AC140109,本科生,男,软工2011-1, 
1201AC140129,本科生,男,勘资2012-1, 
1201AC140315,本科生,男,勘资2012-3, 
1202AE140102,本科生,男,海油2012-1, 
1203AE140105,本科生,男,能源2012-1, 
1205AC150101,本科生,男,建筑2012-1, 
1205AC150103,本科生,男,建筑2012-1, 
1205AC150104,本科生,男,建筑2012-1, 
1205AC150105,本科生,男,建筑2012-1, 
1205AC150106,本科生,男,建筑2012-1, 
1205AC150107,本科生,男,建筑2012-1, 
1205AC150108,本科生,男,建筑2012-1, 
1205AC150109,本科生,男,建筑2012-1, 
1205AC150111,本科生,男,建筑2012-1, 
1205AC150113,本科生,男,建筑2012-1, 
1205AC150114,本科生,男,建筑2012-1, 
1205AC150115,本科生,男,建筑2012-1, 
1205AC150118,本科生,男,建筑2012-1, 
1205AC150119,本科生,男,建筑2012-1, 
1205AC150120,本科生,男,建筑2012-1, 
1205AC150202,本科生,男,建筑2012-2, 
1205AC150204,本科生,男,建筑2012-2, 
1205AC150205,本科生,男,建筑2012-2, 
1205AC150206,本科生,男,建筑2012-2, 
1205AC150208,本科生,男,建筑2012-2, 
1205AC150209,本科生,男,建筑2012-2, 
1205AC150211,本科生,男,建筑2012-2, 
1205AC150212,本科生,男,建筑2012-2, 
1205AC150213,本科生,男,建筑2012-2, 
1205AC150214,本科生,男,建筑2012-2, 
1205AC150218,本科生,男,建筑2012-2, 
1206AC140502,本科生,男,自2012-5, 
1206AC140807,本科生,男,自2012-8, 
1207AD140201,本科生,男,计2012-2, 
1207AD140211,本科生,男,计2012-2, 
1207AD140213,本科生,男,计2012-2, 
1207AD140830,本科生,男,计2012-08, 
1207AD240110,本科生,男,教2012-1, 
1208AC140126,本科生,男,营销2012-1, 
1208AC240101,本科生,男,商管2012-1, 
1208AC240710,本科生,女,商管2012-7, 
1209AC140111,本科生,男,电信2012-1, 
1212AC240120,本科生,男,社工2012-1, 
1214AC140323,本科生,男,艺术设计美12-3, 
1301AC140101,本科生,男,勘资2013-1, 
1301AC140106,本科生,男,勘资2013-1, 
1301AC140113,本科生,男,勘资2013-1, 
1301AC140114,本科生,男,勘资2013-1, 
1301AC140115,本科生,男,勘资2013-1, 
1301AC140117,本科生,男,勘资2013-1, 
1301AC140118,本科生,男,勘资2013-1, 
1301AC140121,本科生,男,勘资2013-1, 
1301AC140124,本科生,男,勘资2013-1, 
1301AC140128,本科生,男,勘资2013-1, 
1301AC140129,本科生,男,勘资2013-1, 
1301AC140131,本科生,男,勘资2013-1, 
1301AC140202,本科生,男,勘资2013-2, 
1301AC140205,本科生,男,勘资2013-2, 
1301AC140209,本科生,男,勘资2013-2, 
1301AC140213,本科生,男,勘资2013-2, 
1301AC140214,本科生,男,勘资2013-2, 
1301AC140216,本科生,男,勘资2013-2, 
1301AC140217,本科生,男,勘资2013-2, 
1301AC140222,本科生,男,勘资2013-2, 
1301AC140223,本科生,男,勘资2013-2, 
1301AC140225,本科生,男,勘资2013-2, 
1301AC140226,本科生,男,勘资2013-2, 
1301AC140230,本科生,男,勘资2013-2, 
1301AC140231,本科生,男,勘资2013-2, 
1301AC140232,本科生,男,勘资2013-2, 
1301AC140233,本科生,男,勘资2013-2, 
1301AC140301,本科生,男,勘资2013-3, 
1301AC140302,本科生,男,勘资2013-3, 
1301AC140304,本科生,男,勘资2013-3, 
1301AC140306,本科生,男,勘资2013-3, 
1301AC140307,本科生,男,勘资2013-3, 
1301AC140311,本科生,男,勘资2013-3, 
1301AC140313,本科生,男,勘资2013-3, 
1301AC140315,本科生,男,勘资2013-3, 
1301AC140317,本科生,男,勘资2013-3, 
