年龄,身高,学历,工资,家乡,婚姻,住房,自我介绍,对象年龄,对象身高,对象学历,对象薪水,对象家乡,对象婚姻,对象住房,最低工资,最高工资,平均工资,对象最低年龄,对象最高年龄,对象平均年龄,对象最低身高,对象最高身高,对象平均身高,对象最低薪水,对象最高薪水,对象平均薪水
22,162,高中,10000-20000,台湾省,未婚,以后再告诉你,"['来到', '希望', '朋友', '期待', '快快', '发信']",21 - 29,162 - 187,不限,0-0,台湾省,不限,不限,10000,20000,15000,21,29,25,162,187,174.5,0,0,0
31,161,大专,5000-10000,澳门特别行政区,未婚,以后再告诉你,"['希望', '找到', '真诚', '自信', '阳光', '相扶', '相持', '生活']",30 - 38,161 - 186,不限,0-0,澳门特别行政区,不限,不限,5000,10000,7500,30,38,34,161,186,173.5,0,0,0
23,158,大专,10000-20000,台湾省,未婚,以后再告诉你,"['来到', '希望', '朋友', '期待', '快快', '发信']",21 - 29,158 - 183,不限,0-0,台湾省,不限,不限,10000,20000,15000,21,29,25,158,183,170.5,0,0,0
24,160,大专,10000-20000,台湾省,未婚,以后再告诉你,"['来到', '希望', '朋友', '期待', '快快', '发信']",23 - 31,160 - 185,不限,0-0,台湾省,不限,不限,10000,20000,15000,23,31,27,160,185,172.5,0,0,0
22,168,高中,5000-10000,香港特别行政区,未婚,以后再告诉你,"['希望', '过客', '盼望', '找到', '爱', '我会', '努力', '寻找', '珍惜', '放手']",21 - 29,168 - 193,不限,0-0,香港特别行政区,不限,不限,5000,10000,7500,21,29,25,168,193,180.5,0,0,0
38,172,硕士,5000-10000,以后告诉你,未婚,以后告诉你,"['希望', '过客', '盼望', '找到', '爱', '我会', '努力', '寻找', '珍惜', '放手']",26 - 37,160 - 211,"初中,中专/职高/技校,高中,大专,本科,硕士,博士","2000以下,2000-5000,5000-10000,10000-20000,20000-50000",不限,不限,不限,5000,10000,7500,26,37,31.5,160,211,185.5,0,0,0
28,164,本科,5000-10000,山西省,未婚,已购房(无贷款),"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",27 - 37,170 - 190,不限,0-0,山西省,不限,不限,5000,10000,7500,27,37,32,170,190,180,0,0,0
29,165,本科,5000-10000,内蒙古自治区,未婚,住单位房,"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",28 - 38,170 - 190,不限,0-0,内蒙古自治区,不限,不限,5000,10000,7500,28,38,33,170,190,180,0,0,0
23,166,本科,5000-10000,天津市,未婚,已购房(无贷款),"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",23 - 33,170 - 190,不限,0-0,天津市,不限,不限,5000,10000,7500,23,33,28,170,190,180,0,0,0
34,161,大专,2000-5000,黑龙江省,未婚,以后再告诉你,"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",34 - 44,170 - 190,不限,0-0,黑龙江省,不限,不限,2000,5000,3500,34,44,39,170,190,180,0,0,0
34,165,大专,2000-5000,山东省,未婚,与父母同住,"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",34 - 44,170 - 190,不限,0-0,山东省,不限,不限,2000,5000,3500,34,44,39,170,190,180,0,0,0
24,160,本科,5000-10000,内蒙古自治区,未婚,需要时购置,"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",24 - 34,170 - 190,不限,0-0,内蒙古自治区,不限,不限,5000,10000,7500,24,34,29,170,190,180,0,0,0
32,172,大专,2000以下,福建省,未婚,以后告诉你,"['希望', '找到', '真诚', '自信', '阳光', '相扶', '相持', '生活']",30 - 38,172 - 197,不限,0-0,福建省,不限,不限,2000,2000,2000,30,38,34,172,197,184.5,0,0,0
29,165,大专,2000-5000,四川省,未婚,住亲朋家,"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",29 - 39,170 - 190,不限,0-0,四川省,不限,不限,2000,5000,3500,29,39,34,170,190,180,0,0,0
50,163,初中,5000-10000,江苏省,未婚,住亲朋家,"['天空', '蓝', '蓝', '忧郁', '日子', '自由', '自由', '孤单', '日子', '背影', '份', '孤独', '身边', '少', '份', '快乐', '日子', '心灵', '份', '宁静', '面容', '添', '一丝', '忧郁', '有人', '心疼', '一份', '孤独', '有人', '羡慕', '一份', '宁静', '等待', '迦']",49 - 59,170 - 190,不限,0-0,江苏省,不限,不限,5000,10000,7500,49,59,54,170,190,180,0,0,0
31,168,大专,2000-5000,河北省,未婚,与父母同住,"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",30 - 40,170 - 190,不限,0-0,河北省,不限,不限,2000,5000,3500,30,40,35,170,190,180,0,0,0
32,161,大专,2000-5000,内蒙古自治区,未婚,已购房(有贷款),"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",31 - 41,170 - 190,不限,0-0,内蒙古自治区,不限,不限,2000,5000,3500,31,41,36,170,190,180,0,0,0
32,168,大专,2000-5000,黑龙江省,未婚,租房,"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",31 - 41,170 - 190,不限,0-0,黑龙江省,不限,不限,2000,5000,3500,31,41,36,170,190,180,0,0,0
29,169,大专,2000-5000,黑龙江省,未婚,以后再告诉你,"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",29 - 39,170 - 190,不限,0-0,黑龙江省,不限,不限,2000,5000,3500,29,39,34,170,190,180,0,0,0
35,165,大专,2000-5000,辽宁省,未婚,已购房(有贷款),"['希望', '过客', '盼望', '建成', '家园', '期待', '到来']",34 - 44,170 - 190,不限,0-0,辽宁省,不限,不限,2000,5000,3500,34,44,39,170,190,180,0,0,0
