日期,客户id,性别,国籍,职业,产品分类,产品名称,等级,价格,购买数量,消费额(元),门店名称,店长
2019/1/1,A010,女,中国,无业游民,饮料,产品 13,三级,6.4,3,19.2,3W咖啡王府井店,Nancy
2019/1/1,A020,女,美国,学生,咖啡,产品 15,三级,48,4,192,3W咖啡西单店,Jerry
2019/1/1,A009,女,英国,学生,茶饮,产品 22,三级,3.6,8,28.8,3W咖啡西单店,Jerry
2019/1/1,A012,女,美国,上班族,茶饮,产品 17,三级,13.6,1,13.6,3W咖啡鲁谷店,Jerry
2019/1/1,A004,男,中国,退休,冰饮,产品 10,一级,65.7,6,394.2,3W咖啡门头沟店,Simon
2019/1/1,A008,男,中国,学生,美食,产品 15,二级,79.2,3,237.6,3W咖啡长城店,Jim
2019/1/1,A021,男,荷兰,无业游民,美食,产品 11,一级,16.1,1,16.1,3W咖啡王府井店,Nancy
2019/1/1,A013,男,美国,无业游民,饮料,产品 15,一级,30,4,120,3W咖啡大兴店,Bob
2019/1/1,A016,男,英国,无业游民,茶饮,产品 18,一级,3.5,3,10.5,3W咖啡王府井店,Nancy
2019/1/1,A009,女,英国,学生,饮料,产品 24,一级,16.8,1,16.8,3W咖啡大兴店,Bob
2019/1/1,A016,男,英国,无业游民,饮料,产品 30,二级,23.4,2,46.8,3W咖啡西单店,Jerry
2019/1/1,A006,女,中国,商务精英,咖啡,产品 11,一级,21.7,1,21.7,3W咖啡公主坟店,Andy
2019/1/1,A017,女,荷兰,上班族,美食,产品 12,三级,4.8,1,4.8,3W咖啡长城店,Jim
2019/1/1,A019,男,荷兰,商务精英,咖啡,产品 4,二级,83.7,1,83.7,3W咖啡鲁谷店,Lucy
2019/1/1,A005,男,英国,无业游民,饮料,产品 4,三级,13.5,3,40.5,3W咖啡长城店,Jim
2019/1/1,A017,女,美国,学生,美食,产品 6,一级,4.5,1,4.5,3W咖啡王府井店,Nancy
2019/1/1,A023,男,荷兰,学生,饮料,产品 8,二级,36,1,36,3W咖啡鲁谷店,Lucy
2019/1/1,A025,男,美国,无业游民,茶饮,产品 24,一级,3.5,7,24.5,3W咖啡西单店,Jerry
2019/1/1,A002,男,中国,退休,美食,产品 20,二级,74,1,74,3W咖啡长城店,Jim
2019/1/1,A001,男,中国,退休,茶饮,产品 23,一级,3.5,7,24.5,3W咖啡王府井店,Nancy
2019/1/1,A007,女,中国,商务精英,茶饮,产品 22,三级,3.2,4,12.8,3W咖啡门头沟店,Simon
2019/1/1,A021,男,荷兰,无业游民,咖啡,产品 4,二级,93,1,93,3W咖啡王府井店,Nancy
2019/1/1,A010,男,荷兰,无业游民,茶饮,产品 22,三级,2.8,4,11.2,3W咖啡大兴店,Bob
2019/1/1,A017,女,美国,学生,冰饮,产品 9,二级,49,1,49,3W咖啡长城店,Jim
2019/1/1,A001,男,中国,退休,冰饮,产品 10,一级,65.7,1,65.7,3W咖啡门头沟店,Simon
2019/1/1,A019,男,荷兰,商务精英,饮料,产品 25,一级,19.2,2,38.4,3W咖啡公主坟店,Andy
2019/1/1,A009,女,英国,学生,饮料,产品 14,三级,8,1,8,3W咖啡大兴店,Bob
2019/1/1,A016,男,英国,无业游民,茶饮,产品 17,一级,94,1,94,3W咖啡大兴店,Bob
2019/1/1,A018,男,荷兰,退休,咖啡,产品 21,一级,53,4,212,3W咖啡王府井店,Nancy
2019/1/1,A010,男,荷兰,无业游民,咖啡,产品 13,三级,12.8,1,12.8,3W咖啡西单店,Jerry
2019/1/1,A005,男,英国,无业游民,茶饮,产品 17,一级,84.6,4,338.4,3W咖啡鲁谷店,Lucy
2019/1/1,A024,男,美国,退休,咖啡,产品 11,一级,31,1,31,3W咖啡王府井店,Nancy
2019/1/1,A008,男,中国,学生,咖啡,产品 4,二级,74.4,3,223.2,3W咖啡鲁谷店,Lucy
2019/1/1,A016,男,英国,无业游民,饮料,产品 28,一级,12.6,6,75.6,3W咖啡公主坟店,Andy
2019/1/1,A014,女,荷兰,上班族,茶饮,产品 23,一级,5,7,35,3W咖啡鲁谷店,Lucy
2019/1/1,A005,男,英国,无业游民,冰饮,产品 10,一级,51.1,5,255.5,3W咖啡望京店,Tom
2019/1/1,A016,男,英国,无业游民,美食,产品 20,二级,74,1,74,3W咖啡鲁谷店,Lucy
2019/1/1,A013,女,中国,商务精英,饮料,产品 14,三级,5.6,3,16.8,3W咖啡鲁谷店,Lucy
2019/1/1,A002,男,荷兰,学生,冰饮,产品 10,一级,NULL,1,65.7,3W咖啡公主坟店,Andy
2019/1/1,A002,男,荷兰,学生,美食,产品 12,三级,6,1,6,3W咖啡鲁谷店,Lucy
2019/1/1,A006,女,中国,商务精英,茶饮,产品 22,三级,2.8,6,16.8,3W咖啡大兴店,Bob
2019/1/1,A025,男,美国,无业游民,美食,产品 5,一级,4,2,8,3W咖啡鲁谷店,Lucy
2019/1/1,A021,男,荷兰,无业游民,冰饮,产品 10,一级,73,4,292,3W咖啡门头沟店,Simon
2019/1/1,A003,女,中国,退休,饮料,产品 14,三级,8,2,16,3W咖啡王府井店,Nancy
2019/1/1,A012,女,美国,上班族,饮料,产品 8,二级,28,2,56,3W咖啡公主坟店,Andy
2019/1/1,A001,男,中国,退休,饮料,产品 6,一级,66.6,1,66.6,3W咖啡西单店,Jerry
2019/1/1,A022,男,中国,无业游民,咖啡,产品 11,一级,24.8,7,173.6,3W咖啡王府井店,Nancy
2019/1/1,A017,女,美国,学生,茶饮,产品 22,三级,NULL,2,8,3W咖啡门头沟店,Simon
2019/1/1,A019,男,荷兰,商务精英,咖啡,产品 21,一级,47.7,1,47.7,3W咖啡鲁谷店,Lucy
2019/1/1,A015,女,荷兰,上班族,茶饮,产品 22,三级,2.8,1,2.8,3W咖啡望京店,Tom
2019/1/1,A002,男,荷兰,学生,饮料,产品 15,一级,21,6,126,3W咖啡鲁谷店,Lucy
2019/1/1,A006,女,中国,商务精英,美食,产品 12,三级,5.4,5,27,3W咖啡大兴店,Bob
2019/1/1,A009,女,英国,学生,咖啡,产品 11,一级,27.9,2,55.8,3W咖啡公主坟店,Andy
2019/1/1,A004,女,美国,商务精英,咖啡,产品 11,一级,24.8,4,99.2,3W咖啡西单店,Jerry
2019/1/1,A006,女,中国,商务精英,咖啡,产品 16,三级,48,1,48,3W咖啡西单店,Jerry
2019/1/1,A012,女,美国,上班族,饮料,产品 8,二级,36,1,36,3W咖啡望京店,Tom
2019/1/1,A023,女,中国,无业游民,美食,产品 1,一级,22.4,2,44.8,3W咖啡鲁谷店,Lucy
2019/1/1,A004,女,美国,商务精英,咖啡,产品 11,一级,31,3,93,3W咖啡王府井店,Nancy
